p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
2,336;11,164;6,563;720,25;688;23;136337,81;5981;18,46;11,56;953,32;26,15
2,338;11,275;6,57;720,25;688;23,25;136368,81;5981;18,46;11,56;953,32;26,15
2,337;11,254;6,566;720,25;688;23,25;136368,81;5981;18,46;11,56;953,33;26,17
2,34;11,319;6,57;720;688;23,25;136425,64;5981;18,46;11,56;953,33;26,17
2,346;10,921;6,555;719,25;688,5;23,25;136435,98;5981;18,46;11,56;953,36;26,17
2,338;11,251;6,559;720,5;688,5;23,25;136389,47;6008;18,46;11,61;953,3;26,17
2,334;11,166;6,555;720,5;688,75;23,25;136332,66;6008;18,46;11,61;953,29;26,17
2,337;11,173;6,563;720,5;688,75;23,25;136296,52;6008;18,46;11,61;953,29;26,15
2,34;11,526;6,57;719,5;688,75;22,75;136312;6008;18,46;11,61;953,34;26,17
2,337;10,998;6,573;719,5;688,75;22,5;136322,33;6008;18,46;11,61;953,34;26,12
2,343;11,319;6,566;719,25;688,75;22,75;136296,52;6008;18,46;11,61;953,29;26,15
2,336;11,311;6,577;719,5;688,5;22,5;136322,33;6008;18,25;11,48;953,3;26,2
2,338;11,404;6,552;719,5;688,5;22,75;136363,64;6008;18,25;11,48;953,29;26,17
2,333;11,141;6,559;719,25;688,25;22,5;136270,72;6008;18,25;11,48;953,28;26,15
2,344;11,48;6,573;719,25;688;22,25;136244,94;6008;18,25;11,48;953,35;26,17
2,337;11,132;6,559;720;688;23;136286,2;6008;18,25;11,48;953,32;26,15
2,335;11,333;6,563;720;687,75;23;136312;5993;18,25;11,45;953,31;26,15
2,337;11,181;6,563;720,5;687,75;23,25;136322,33;5993;18,25;11,45;953,32;26,17
2,344;11,089;6,555;720,5;688;23,25;136337,81;5993;18,25;11,45;953,33;26,15
2,336;11,268;6,566;720,5;687,75;23,25;136275,88;5993;18,25;11,45;953,36;26,15
2,339;10,891;6,563;720,25;688;23,25;136270,72;5993;18,25;11,45;953,3;26,15
2,337;11,308;6,566;720,25;688;23,25;136203,7;5993;18,25;11,45;953,3;26,15
2,336;11,387;6,563;720;688;23,25;136229,47;5993;18,46;11,58;953,33;26,17
2,337;11,17;6,577;720;688;23,25;136291,36;5993;18,46;11,58;953,3;26,12
2,334;11,281;6,573;720;688,25;23,25;136296,52;5993;18,46;11,58;953,3;26,17
2,337;11,119;6,563;719,75;688,25;23;136275,88;5993;18,46;11,58;953,34;26,17
2,334;11,283;6,566;720;688,25;23,25;136250,09;5993;18,46;11,58;953,32;26,15
2,337;11,051;6,57;719,75;688,25;23;136301,67;5993;18,25;11,45;953,3;26,15
2,337;11,256;6,563;719,5;688,25;23,25;136327,48;5993;18,25;11,45;953,33;26,17
2,337;11,485;6,563;719,5;688,5;23,25;136291,36;5993;18,25;11,45;953,32;26,17
2,337;11,313;6,573;719,5;688,5;23,25;136332,66;5993;18,25;11,45;953,3;26,17
2,333;11,266;6,573;719,25;688,5;23;136255,25;5993;18,25;11,45;953,31;26,17
2,337;11,107;6,577;719,25;688,5;23,25;136208,84;5993;18,25;11,45;953,26;26,17
2,33;10,975;6,566;719;688,5;23,25;136193,39;5993;18,04;11,32;953,34;26,17
2,333;11,249;6,559;719,25;688,25;23;136198,55;5993;18,04;11,32;953,3;26,17
2,337;11,213;6,563;719;688,25;23;136224,31;5993;18,04;11,32;953,34;26,15
2,336;11,102;6,563;719;688,25;23;136177,94;5993;18,04;11,32;953,3;26,15
2,333;11,091;6,563;719;688,5;23;136214;5993;18,04;11,32;953,33;26,17
2,334;10,971;6,577;719;688,5;23;136214;5979;18,25;11,43;953,28;26,17
2,337;11,308;6,566;719;688,5;22,75;136255,25;5979;18,25;11,43;953,25;26,15
2,333;10,961;6,566;719;688,5;22,5;136239,78;5979;18,25;11,43;953,33;26,17
2,333;11,34;6,57;719;688,25;22,5;136239,78;5979;18,25;11,43;953,33;26,17
2,334;11,027;6,563;719;688,25;22,5;136244,94;5979;18,25;11,43;953,24;26,17
2,334;11,331;6,57;719;688,25;22,5;136193,39;5979;18,25;11,43;953,28;26,15
2,334;11,334;6,559;719;688,25;22,75;136224,31;6018;18,46;11,63;953,26;26,17
2,333;11,147;6,563;719;688;22,75;136141,89;6018;18,46;11,63;953,24;26,17
2,33;11,153;6,555;718,75;688;22,75;136188,23;6018;18,46;11,63;953,22;26,17
2,333;11,352;6,563;718,75;688,25;23;136193,39;6018;18,46;11,63;953,34;26,15
2,333;11,08;6,559;718,75;688,25;23;136162,48;6018;18,46;11,63;953,32;26,17
2,333;11,287;6,555;719;688,25;23;136157,34;6018;18,25;11,5;953,36;26,17
2,33;11,173;6,57;719;688;23;136131,59;6018;18,25;11,5;953,35;26,17
2,334;11,463;6,566;718,75;688;23;136126,45;6018;18,25;11,5;953,31;26,17
2,333;11,182;6,555;718,75;688;22,75;136152,19;6018;18,25;11,5;953,35;26,15
2,333;11,124;6,566;718,75;688,25;22,75;136121,3;6018;18,25;11,5;953,31;26,17
