p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
2,327;10,527;6,592;730;694;26,5;135608,55;4110;23,23;10;953,35;28,28
2,337;10,783;6,577;730;694;26,75;135664,77;4110;23,23;10;953,39;28,23
2,327;11,006;6,584;729,5;693,75;25,25;135644,31;4110;23,02;9,91;953,3;28,21
2,333;10,84;6,573;729,75;694,25;26,75;135674,98;4110;23,02;9,91;953,33;28,23
2,343;10,868;6,595;730;694,25;26;135705,67;4110;23,02;9,91;953,33;28,21
2,329;11,048;6,581;729,75;694,5;26,75;135726,14;4110;23,02;9,91;953,3;28,28
2,33;10,843;6,588;730;694,5;26;135741,48;4110;23,02;9,91;953,36;28,21
2,323;11,036;6,581;730;694,75;25,5;135695,44;4110;23,02;9,91;953,3;28,23
2,327;11,018;6,588;730,25;694,25;25,75;135731,25;4046;23,02;9,75;953,33;28,21
2,323;11,037;6,603;730;694,25;27;135700,55;4046;23,02;9,75;953,34;28,23
2,327;10,931;6,592;730,25;694,25;26,5;135634,09;4046;23,02;9,75;953,33;28,21
2,322;11,063;6,584;729,75;694,25;27;135664,77;4046;23,02;9,75;953,34;28,21
2,323;10,788;6,588;729,75;694;26,5;135618,77;4046;23,02;9,75;953,35;28,23
2,323;10,965;6,588;730,25;694,25;27;135644,31;4046;23,02;9,75;953,34;28,23
2,316;10,977;6,592;730,25;694,25;26,75;135623,88;4046;23,02;9,75;953,34;28,21
2,327;11,12;6,599;730;694;24,75;135685,2;4046;23,02;9,75;953,34;28,23
2,333;10,969;6,588;730,25;694;23;135608,55;4046;23,02;9,75;953,33;28,23
2,323;11,018;6,599;730;694,25;26,25;135598,33;4046;23,02;9,75;953,32;28,21
2,33;10,856;6,584;730;694,25;23,5;135588,13;4046;23,02;9,75;953,31;28,23
2,33;10,809;6,584;730;694,5;26;135526,86;4020;22,81;9,6;953,38;28,23
2,324;11,321;6,603;729,5;694,5;26,5;135608,55;4020;22,81;9,6;953,35;28,23
