p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
2,33;11,065;6,552;722,75;687,25;23,5;136105,86;5321;20,53;11,44;953,35;26,66
2,33;11,13;6,544;722,75;687;23,5;136167,64;5321;20,53;11,44;953,39;26,66
2,33;11,179;6,563;723;687,25;23,5;136172,78;5321;20,53;11,44;953,35;26,69
2,33;10,85;6,555;722,75;687,25;23,75;136208,84;5321;20,53;11,44;953,33;26,69
2,321;11,063;6,552;723;687,5;23,75;136136,75;5321;20,53;11,44;953,39;26,66
2,327;11,341;6,555;723;687,5;23,75;136177,94;5308;20,74;11,53;953,35;26,66
2,323;11,122;6,552;723,25;687,5;23,75;136172,78;5308;20,74;11,53;953,35;26,69
2,331;10,899;6,548;723,25;687,25;23,75;136193,39;5308;20,74;11,53;953,34;26,69
2,323;11,247;6,552;723,25;687,25;23,75;136198,55;5308;20,74;11,53;953,37;26,66
2,333;11,082;6,555;723,25;687,25;23,75;136219,16;5308;20,74;11,53;953,37;26,69
2,33;11,207;6,555;723,25;687;23,75;136244,94;5308;20,74;11,53;953,36;26,69
2,328;11,13;6,548;723,5;687,25;23,75;136250,09;5308;20,74;11,53;953,38;26,66
2,33;10,955;6,552;723,5;687;23,75;136172,78;5308;20,74;11,53;953,39;26,66
2,327;11,003;6,552;723,5;687;23,75;136224,31;5308;20,74;11,53;953,36;26,66
2,325;11,015;6,559;723,5;687;23,75;136270,72;5308;20,74;11,53;953,36;26,66
2,33;11,34;6,552;723,75;687;23,75;136255,25;5308;20,74;11,53;953,36;26,69
2,327;11,244;6,563;723,75;687;23,75;136265,56;5314;20,74;11,54;953,37;26,69
2,331;10,956;6,563;724;686,75;23,75;136250,09;5314;20,74;11,54;953,31;26,66
2,33;11,215;6,548;724;686,75;23,75;136270,72;5314;20,74;11,54;953,35;26,66
2,334;11,006;6,548;724;686,75;23,75;136239,78;5314;20,74;11,54;953,33;26,69
2,327;11,04;6,548;724,25;686,75;23,5;136255,25;5314;20,74;11,54;953,42;26,69
2,327;11,167;6,541;724,5;686,75;23,75;136260,41;5304;20,53;11,4;953,39;26,69
2,334;11,28;6,559;724,25;686,5;23,75;136270,72;5304;20,53;11,4;953,34;26,66
2,333;11,17;6,563;724,25;686,5;23,75;136306,84;5304;20,53;11,4;953,33;26,66
2,333;11,142;6,544;724,25;686,75;23,75;136322,33;5304;20,53;11,4;953,3;26,69
2,33;11,159;6,555;724;686,75;23,75;136260,41;5304;20,53;11,4;953,37;26,66
2,333;11,231;6,552;724;686,75;23,75;136229,47;5304;20,53;11,4;953,4;26,69
2,335;10,93;6,552;724;686,75;23,75;136239,78;5304;20,53;11,4;953,34;26,69
2,327;11,2;6,559;724;686,75;23,75;136239,78;5304;20,53;11,4;953,35;26,66
2,33;11,061;6,559;724;686,75;23,75;136188,23;5304;20,53;11,4;953,3;26,69
2,33;10,964;6,544;723,75;686,75;23,75;136162,48;5304;20,53;11,4;953,37;26,69
2,333;11,277;6,548;723,75;686,75;23,75;136214;5304;20,53;11,4;953,36;26,71
2,334;11,124;6,559;723,5;686,75;23,75;136224,31;5305;20,53;11,4;953,33;26,69
2,331;10,902;6,541;723,75;686,75;23,75;136177,94;5305;20,53;11,4;953,36;26,69
2,328;11,058;6,563;723,75;686,75;23,75;136131,59;5305;20,53;11,4;953,35;26,69
2,329;11;6,566;723,75;686,75;23,75;136141,89;5305;20,53;11,4;953,36;26,69
2,337;11,408;6,552;724;686,75;23,75;136167,64;5305;20,53;11,4;953,35;26,69
2,33;11,212;6,563;724;686,75;23,75;136157,34;5305;20,53;11,4;953,37;26,66
2,334;10,981;6,566;723,75;686,75;23,75;136162,48;5305;20,53;11,4;953,43;26,66
2,33;10,946;6,548;724;686,75;23,75;136188,23;5305;20,53;11,4;953,38;26,69
2,323;11,07;6,552;724;687;23,75;136183,09;5305;20,53;11,4;953,38;26,66
2,327;10,866;6,57;724;686,75;23,75;136198,55;5305;20,53;11,4;953,38;26,71
2,333;10,906;6,537;724;686,75;23,75;136193,39;5305;20,53;11,4;953,39;26,66
2,331;11,436;6,544;724;686,75;24;136188,23;5305;20,53;11,4;953,39;26,69
2,337;11,201;6,566;724;686,75;23,75;136162,48;5305;20,53;11,4;953,32;26,69
2,326;11,033;6,555;723,75;686,75;23,75;136105,86;5305;20,53;11,4;953,35;26,66
2,33;11,119;6,548;723,75;686,5;23,75;136069,84;5305;20,53;11,4;953,4;26,71
2,329;10,928;6,563;723,5;686,75;23,75;136095,58;5305;20,53;11,4;953,37;26,69
2,333;11,033;6,552;723,5;686,75;23,75;136080,13;5305;20,53;11,4;953,39;26,66
2,333;10,984;6,544;723,5;686,75;23,75;136085,28;5305;20,94;11,64;953,38;26,66
2,334;11,241;6,559;723,5;687;23,75;136116,16;5305;20,94;11,64;953,35;26,66
2,333;11,101;6,541;723,25;687;23,75;136116,16;5305;20,94;11,64;953,35;26,66
2,33;11,178;6,555;723,25;687;23,75;136126,45;5305;20,94;11,64;953,31;26,66
2,34;11,336;6,563;723;687,25;23,75;136152,19;5305;20,94;11,64;953,38;26,69
2,337;10,817;6,559;723;687,25;23,75;136157,34;5313;20,74;11,54;953,31;26,69
2,337;10,597;6,552;723;687,5;23,75;136183,09;5313;20,74;11,54;953,33;26,69
2,337;11,213;6,559;722,75;687,5;23,75;136141,89;5313;20,74;11,54;953,38;26,66
2,337;11,414;6,552;723;687,25;23,75;136193,39;5313;20,74;11,54;953,37;26,69
