p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
2,332;11;6,573;730,25;688,75;24,75;136095,58;4694;22,6;11,11;953,31;27,15
2,332;11,079;6,57;730,25;688,75;24,75;136100,72;4694;22,6;11,11;953,39;27,15
2,336;11,039;6,559;730,25;688,5;24,5;136095,58;4694;22,6;11,11;953,34;27,2
2,333;11,173;6,57;730,5;688,75;24,25;136095,58;4694;22,6;11,11;953,36;27,15
2,331;11,28;6,573;730,5;688,75;24,25;136105,86;4694;22,6;11,11;953,29;27,2
2,333;10,596;6,563;730,25;687,75;24,75;136080,13;4694;22,6;11,11;953,34;27,15
2,327;11,262;6,57;730,25;688;24,5;136116,16;4694;22,6;11,11;953,32;27,15
2,335;11,182;6,566;729;687;24;136141,89;4694;22,6;11,11;953,35;27,15
2,333;11,213;6,563;729,75;687,5;24,75;136136,75;4694;22,6;11,11;953,35;27,2
2,333;10,859;6,581;730;688,75;24,75;136234,63;4694;22,6;11,11;953,37;27,12
2,333;11,073;6,573;730,25;688,75;24,75;136214;4692;22,4;11;953,32;27,15
2,333;11,402;6,559;730;688,75;24,75;136198,55;4692;22,4;11;953,35;27,2
2,334;11,008;6,577;730,25;688,5;24,75;136136,75;4692;22,4;11;953,4;27,12
2,337;11,071;6,566;730,25;688,5;24,75;136188,23;4692;22,4;11;953,32;27,15
2,337;11,277;6,563;730;688,5;24,75;136172,78;4692;22,4;11;953,31;27,2
2,333;11,163;6,566;729,75;688,25;24,75;136183,09;4692;22,4;11;953,34;27,2
2,333;11,166;6,581;730;688,25;24,75;136208,84;4681;22,4;10,98;953,35;27,15
2,334;11,036;6,573;730;688,25;25;136219,16;4681;22,4;10,98;953,37;27,15
2,337;11,463;6,577;730,25;688,25;24,75;136208,84;4681;22,4;10,98;953,34;27,15
2,331;11,293;6,57;730,5;688;24,75;136214;4681;22,4;10,98;953,35;27,2
2,337;11,195;6,566;730,75;687,25;24,75;136198,55;4681;22,4;10,98;953,33;27,15
2,333;11,184;6,57;730,75;687,75;24,75;136224,31;4681;22,6;11,08;953,28;27,2
2,33;11,045;6,566;730,75;687,75;24,75;136224,31;4681;22,6;11,08;953,37;27,2
2,337;11,052;6,573;730,75;687,75;24,75;136296,52;4681;22,6;11,08;953,4;27,15
2,334;11,37;6,581;730,75;687,75;24,75;136270,72;4681;22,6;11,08;953,39;27,15
2,337;11,176;6,577;730;687,5;24,5;136270,72;4681;22,6;11,08;953,38;27,15
2,337;11,458;6,573;730;688;24,5;136198,55;4681;22,6;11,08;953,39;27,2
2,337;11,223;6,573;730,25;688;24,5;136239,78;4686;22,6;11,09;953,34;27,15
2,332;11,22;6,577;730,25;687,75;24,5;136152,19;4686;22,6;11,09;953,36;27,2
2,333;10,962;6,57;730,25;687,75;24,5;136111,02;4686;22,6;11,09;953,33;27,2
2,33;11,136;6,577;730,5;687,75;24,5;136147,05;4686;22,6;11,09;953,36;27,2
2,338;11,036;6,581;730;688;24,75;136141,89;4686;22,6;11,09;953,36;27,15
2,337;11,234;6,559;730,75;688;24,75;136141,89;4686;22,19;10,89;953,35;27,15
2,334;11,111;6,566;730,75;688;24,75;136162,48;4686;22,19;10,89;953,37;27,15
2,337;11,163;6,577;730,75;688;24,75;136188,23;4686;22,19;10,89;953,35;27,2
2,334;11,333;6,566;731;688;24,75;136239,78;4686;22,19;10,89;953,38;27,2
2,333;11,178;6,57;731;687,75;24,75;136229,47;4686;22,19;10,89;953,33;27,23
2,333;10,959;6,555;730,75;687,5;24,75;136229,47;4686;22,19;10,89;953,36;27,2
2,335;11,313;6,563;730,5;687,75;24,75;136255,25;4693;22,4;11,01;953,35;27,15
2,331;11,234;6,563;730,5;687,75;24,75;136270,72;4693;22,4;11,01;953,33;27,15
2,333;11,3;6,577;730,5;687,75;24,75;136162,48;4693;22,4;11,01;953,36;27,2
2,326;11,043;6,559;730,5;687,5;25;136152,19;4693;22,4;11,01;953,42;27,15
2,333;11,263;6,566;730,75;687,25;24,75;136162,48;4693;22,4;11,01;953,35;27,15
2,331;11,35;6,577;730,75;687,25;25;136214;4693;22,4;11,01;953,39;27,15
2,333;11,164;6,566;730,75;687,5;25;136219,16;4693;22,4;11,01;953,41;27,2
2,332;11,275;6,573;731;687,5;24,75;136234,63;4693;22,4;11,01;953,33;27,2
2,334;11,169;6,566;731;687,5;25;136208,84;4693;22,4;11,01;953,38;27,2
2,329;11,207;6,573;730,75;687,5;25;136244,94;4693;22,4;11,01;953,3;27,2
2,334;11,271;6,566;730,75;687,75;25;136260,41;4693;22,4;11,01;953,36;27,23
2,333;11,189;6,573;730,75;687,75;24,75;136219,16;4678;22,4;10,97;953,35;27,2
2,337;11,201;6,566;730,75;687,5;25;136219,16;4678;22,4;10,97;953,38;27,2
2,335;11,151;6,573;731;687,5;24,75;136147,05;4678;22,4;10,97;953,38;27,15
2,333;11,194;6,566;731;687;25;136085,28;4678;22,4;10,97;953,35;27,2
2,344;11,064;6,559;730,75;687;25;136116,16;4678;22,4;10,97;953,35;27,15
2,34;11,26;6,57;731;687;25;136111,02;4678;22,6;11,07;953,33;27,2
2,334;11,399;6,566;731;687,25;25;136167,64;4678;22,6;11,07;953,35;27,15
2,337;11,296;6,555;731,25;687;24,75;136224,31;4678;22,6;11,07;953,36;27,23
2,336;11,291;6,577;731,25;687;25;136229,47;4678;22,6;11,07;953,36;27,23
2,338;11,119;6,563;731,25;687,25;25;136260,41;4678;22,6;11,07;953,33;27,2
2,334;11,278;6,566;731;687,25;25;136312;4678;22,6;11,07;953,41;27,2
2,334;11,181;6,57;731;687,5;25;136291,36;4681;22,19;10,88;953,38;27,23
2,347;11,16;6,577;731;687,75;25;136327,48;4681;22,19;10,88;953,35;27,2
2,335;11,192;6,563;731;688;25;136296,52;4681;22,19;10,88;953,38;27,2
2,333;11,147;6,573;730,75;688;24,75;136275,88;4681;22,19;10,88;953,36;27,2
2,34;10,918;6,559;730,75;688;25;136306,84;4681;22,19;10,88;953,34;27,23
2,337;11,327;6,57;730,75;688,25;25;136301,67;4690;22,4;11;953,43;27,2
2,333;11,421;6,573;730,5;688,25;24,75;136291,36;4690;22,4;11;953,35;27,23
2,33;11,219;6,573;730,5;688,25;25;136270,72;4690;22,4;11;953,43;27,23
2,344;11,055;6,552;730,5;688,25;25;136306,84;4690;22,4;11;953,41;27,23
2,333;11,435;6,577;730,5;688,25;25;136373,97;4690;22,4;11;953,37;27,23
2,333;11,046;6,57;730,75;688,25;25;136260,41;4690;22,4;11;953,39;27,15
2,33;11,182;6,57;730,5;688,25;25;136239,78;4690;22,6;11,1;953,36;27,2
2,333;11,117;6,573;730,5;688,25;25;136239,78;4690;22,6;11,1;953,37;27,23
2,334;10,99;6,559;730,5;688,25;25;136229,47;4690;22,6;11,1;953,35;27,23
2,337;11,135;6,581;730,25;688;25;136239,78;4690;22,6;11,1;953,36;27,23
2,331;11,132;6,57;730,25;688,25;25;136234,63;4690;22,6;11,1;953,39;27,2
2,333;10,971;6,563;730,25;688,25;25;136162,48;4682;22,4;10,98;953,33;27,23
2,333;11,471;6,584;730;688,25;25;136177,94;4682;22,4;10,98;953,32;27,2
2,327;10,881;6,577;730;688;25;136162,48;4682;22,4;10,98;953,36;27,23
2,332;11,117;6,563;730;688,25;25;136234,63;4682;22,4;10,98;953,35;27,23
2,333;10,801;6,563;729,75;688,25;25;136244,94;4682;22,4;10,98;953,32;27,23
2,333;11,396;6,563;729,75;688,25;24,75;136275,88;4682;22,4;10,98;953,38;27,23
2,333;10,981;6,566;730;688,5;25;136255,25;4682;22,19;10,88;953,38;27,23
2,34;11,144;6,566;729,75;688,25;25;136239,78;4682;22,19;10,88;953,34;27,23
2,324;11,353;6,563;729,75;688,25;25;136193,39;4682;22,19;10,88;953,34;27,25
2,331;11,009;6,559;729,5;688,25;24,75;136224,31;4682;22,19;10,88;953,34;27,23
2,33;10,927;6,566;729,5;688,25;25;136270,72;4682;22,19;10,88;953,34;27,23
2,331;11,268;6,563;729,5;688,25;25;136255,25;4684;22,4;10,99;953,39;27,2
2,333;11,067;6,566;729,75;688,25;25;136265,56;4684;22,4;10,99;953,37;27,23
2,327;11,122;6,577;729,75;688,5;24,75;136281,03;4684;22,4;10,99;953,37;27,25
2,333;11,054;6,566;729,5;688,5;25;136312;4684;22,4;10,99;953,38;27,2
2,327;11,192;6,566;729,75;688,75;25;136296,52;4684;22,4;10,99;953,36;27,25
