p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
1,922;7,793;4,765;635,25;611;22,75;118362,65;4161;13,89;6,05;953,32;28,92
1,915;7,757;4,765;635;611;22,75;118362,65;4161;13,89;6,05;953,31;28,92
1,918;7,751;4,758;635;611;22,75;118393,79;4161;13,89;6,05;953,34;28,92
1,918;7,772;4,769;635;611;22,75;118378,22;4161;13,89;6,05;953,38;28,97
1,915;7,928;4,805;634,75;611;23;118370,44;4161;13,89;6,05;953,34;28,97
1,918;7,764;4,802;634,75;611;23;118327,64;4161;13,89;6,05;953,4;28,97
1,918;7,861;4,816;634,5;611;23;118347,09;4161;13,89;6,05;953,36;28,92
1,918;7,606;4,798;634,25;611;22,75;118296,53;4165;13,89;6,06;953,31;28,97
1,918;7,661;4,761;634,25;611;22,75;118277,09;4165;13,89;6,06;953,36;28,92
1,918;7,697;4,75;634,5;610,75;22,75;118261,55;4165;13,89;6,06;953,39;28,97
1,915;7,819;4,75;634,5;610,75;22,75;118257,67;4165;13,89;6,06;953,36;28,97
1,915;7,782;4,772;634,75;610,75;22,75;118242,13;4165;13,89;6,06;953,32;28,92
1,915;7,754;4,787;634,5;610,75;22,75;118242,13;4165;13,89;6,06;953,36;28,97
1,914;7,828;4,787;634,5;610,75;22,75;118222,72;4165;13,89;6,06;953,34;28,89
1,915;7,963;4,78;634,5;611;22,75;118238,25;4165;13,89;6,06;953,36;28,92
1,915;7,697;4,78;634,5;611;22,75;118257,67;4165;13,89;6,06;953,38;28,92
1,919;7,729;4,769;634,5;611;22,75;118277,09;4165;13,89;6,06;953,37;28,89
1,914;7,946;4,776;634,5;611;22,75;118288,76;4165;13,89;6,06;953,34;28,92
1,915;7,744;4,783;634,5;610,75;22,75;118280,98;4169;14,1;6,16;953,36;28,92
1,915;7,615;4,805;634,75;610,75;22,75;118249,9;4169;14,1;6,16;953,29;28,92
1,911;7,618;4,805;634,75;610,75;22,75;118273,21;4169;14,1;6,16;953,36;28,92
1,911;7,713;4,802;634,75;610,5;22,75;118273,21;4169;14,1;6,16;953,34;28,97
1,915;7,813;4,794;635;610,25;22,75;118277,09;4169;14,1;6,16;953,36;28,89
1,911;7,874;4,809;635,25;610,25;22,75;118292,64;4169;14,1;6,16;953,38;28,97
1,915;7,975;4,798;635,25;610;22,75;118269,32;4169;13,89;6,07;953,38;28,89
1,918;7,804;4,809;635;610,25;22,75;118304,3;4169;13,89;6,07;953,36;28,92
1,918;7,852;4,794;635;610,5;22,75;118312,09;4169;13,89;6,07;953,34;28,89
1,918;7,832;4,783;634,75;610,5;22,75;118288,76;4169;13,89;6,07;953,38;28,97
1,919;7,69;4,794;634,75;610,5;22,75;118327,64;4169;13,89;6,07;953,31;28,92
1,918;7,958;4,776;634,75;610,5;22,75;118292,64;4164;13,89;6,06;953,36;28,89
1,914;7,799;4,78;634,75;610,5;22,75;118312,09;4164;13,89;6,06;953,34;28,89
1,918;7,945;4,787;634,75;610,5;22,75;118292,64;4164;13,89;6,06;953,29;28,92
1,921;7,643;4,805;634,75;610,75;22,75;118327,64;4164;13,89;6,06;953,35;28,89
1,915;7,817;4,798;634,75;610,75;22,75;118319,86;4164;13,89;6,06;953,31;28,92
1,915;7,757;4,794;635;610,75;22,75;118315,97;4164;13,89;6,06;953,38;28,92
1,918;7,884;4,776;634,75;610,75;22,75;118374,32;4172;13,89;6,07;953,3;28,89
1,915;7,817;4,75;635;610,75;22,75;118366,54;4172;13,89;6,07;953,39;28,92
1,918;7,983;4,765;635;610,75;22,75;118358,76;4172;13,89;6,07;953,35;28,92
1,912;7,655;4,761;635;610,75;22,75;118366,54;4172;13,89;6,07;953,33;28,92
1,918;7,615;4,816;635,25;610,75;22,75;118358,76;4172;13,89;6,07;953,31;28,97
1,912;7,684;4,823;635,25;610,75;22,75;118362,65;4172;14,1;6,16;953,31;28,92
1,91;7,672;4,798;635,25;610,75;22,75;118389,9;4172;14,1;6,16;953,33;28,92
1,918;7,679;4,769;635,25;610,5;22,75;118405,48;4172;14,1;6,16;953,32;28,89
1,915;7,761;4,772;635,5;610,5;22,75;118440,53;4172;14,1;6,16;953,34;28,92
1,917;7,834;4,769;635,25;610,5;22,75;118401,58;4172;14,1;6,16;953,38;28,92
1,916;7,837;4,78;635,25;610,5;22,5;118409,37;4172;14,1;6,16;953,35;28,89
1,911;7,924;4,823;635,25;610,25;22,75;118401,58;4173;14,1;6,16;953,34;28,92
1,918;7,864;4,813;635,25;610,25;22,5;118382,11;4173;14,1;6,16;953,36;28,92
1,919;7,524;4,82;635;610,5;22,75;118335,41;4173;14,1;6,16;953,29;28,92
1,911;7,916;4,78;634,75;610,5;22,5;118382,11;4173;14,1;6,16;953,32;28,97
1,915;7,896;4,729;635;610,5;22,5;118440,53;4173;14,1;6,16;953,36;28,89
1,919;7,87;4,732;635;610,5;22,5;118460,02;4173;13,89;6,07;953,33;28,89
1,918;7,593;4,769;634,5;610,75;22,5;118452,23;4173;13,89;6,07;953,34;28,97
1,921;7,79;4,783;634,5;610,75;22,5;118440,53;4173;13,89;6,07;953,4;28,92
1,918;7,79;4,798;634,5;610,75;22,5;118424,95;4173;13,89;6,07;953,35;28,89
1,912;7,457;4,798;634,75;610,5;22,75;118456,12;4173;13,89;6,07;953,37;28,89
1,915;7,672;4,747;635;610,25;22,75;118460,02;4173;13,89;6,07;953,32;28,89
1,917;7,755;4,703;635,25;610,25;22,75;118479,52;4173;13,89;6,07;953,35;28,92
1,917;7,628;4,707;635,25;610,5;22,75;118475,61;4173;13,89;6,07;953,33;28,92
1,914;7,808;4,725;635,25;610,5;22,75;118460,02;4173;13,89;6,07;953,38;28,92
1,918;7,886;4,791;635,25;610,5;22,5;118409,37;4173;13,89;6,07;953,31;28,89
1,915;7,839;4,827;635;610,5;22,75;118393,79;4173;13,89;6,07;953,36;28,97
1,914;7,987;4,813;635;610,5;22,5;118389,9;4173;14,1;6,16;953,34;28,92
1,917;8,058;4,802;635;610;21;118401,58;4173;14,1;6,16;953,36;28,89
1,915;7,995;4,743;635;610,5;22,75;118362,65;4173;14,1;6,16;953,37;28,92
1,918;7,992;4,714;635;610,25;22,5;118347,09;4173;14,1;6,16;953,36;28,89
1,916;7,711;4,714;635;610,25;22,5;118312,09;4173;14,1;6,16;953,33;28,89
1,91;7,67;4,732;634,75;610,5;22,5;118242,13;4173;14,1;6,16;953,3;28,86
1,914;7,635;4,791;634,25;610,5;22,75;118257,67;4172;13,89;6,07;953,34;28,89
1,918;7,896;4,849;634,25;610,75;22,25;118319,86;4172;13,89;6,07;953,33;28,89
1,919;7,883;4,842;634,25;610,75;22;118269,32;4172;13,89;6,07;953,28;28,89
1,915;7,776;4,794;634,25;611;22,75;118253,79;4172;13,89;6,07;953,32;28,92
1,914;8,019;4,74;634;610,75;22,75;118211,08;4172;13,89;6,07;953,34;28,92
1,915;7,874;4,696;634;610,75;22,5;118246,02;4172;13,89;6,07;953,41;28,89
1,912;7,672;4,736;634;610,75;22,75;118214,95;4172;13,89;6,07;953,29;28,86
1,912;8,031;4,794;633,75;610,75;22,75;118218,84;4172;13,89;6,07;953,37;28,89
1,915;7,933;4,878;633,75;610,75;22,5;118222,72;4172;13,89;6,07;953,32;28,89
1,915;7,887;4,9;634;610,75;22,75;118230,48;4172;13,89;6,07;953,35;28,86
1,913;7,703;4,834;634;610,75;22,75;118242,13;4172;13,89;6,07;953,37;28,89
1,918;7,638;4,776;634;610,75;22,5;118261,55;4177;13,89;6,08;953,33;28,89
1,915;7,791;4,736;634,25;610,75;22,75;118308,2;4177;13,89;6,08;953,32;28,89
1,915;7,726;4,743;634,5;610,75;22,5;118327,64;4177;13,89;6,08;953,33;28,86
1,915;7,808;4,823;634,5;610,5;22,5;118389,9;4177;13,89;6,08;953,34;28,86
1,918;7,624;4,893;634,75;610,5;22,75;118397,69;4177;13,89;6,08;953,32;28,89
1,915;7,477;4,922;634,75;610,5;22,75;118393,79;4171;13,89;6,07;953,37;28,86
1,915;7,656;4,86;634,5;610,5;22,5;118421,05;4171;13,89;6,07;953,38;28,89
1,917;7,722;4,772;634,75;610,5;22,75;118417,16;4171;13,89;6,07;953,37;28,86
1,914;7,842;4,71;634;610,25;22,5;118440,53;4171;13,89;6,07;953,36;28,92
1,918;7,954;4,692;634;610,25;22,5;118467,82;4171;13,89;6,07;953,3;28,86
1,914;7,618;4,736;634;610,5;22,5;118491,21;4171;13,89;6,07;953,36;28,92
1,916;7,816;4,816;634;610,5;22,5;118479,52;4171;14,31;6,25;953,35;28,89
1,915;7,567;4,871;633,75;610,5;22,75;118483,41;4171;14,31;6,25;953,35;28,86
1,911;7,659;4,863;634,25;610,75;22,75;118436,64;4171;14,31;6,25;953,36;28,86
1,918;7,917;4,758;634;610,75;22,75;118444,43;4171;14,31;6,25;953,28;28,86
1,918;7,791;4,732;634;610,75;22,75;118389,9;4171;14,31;6,25;953,35;28,86
1,918;7,62;4,729;634;610,75;22,75;118405,48;4170;13,69;5,98;953,35;28,86
1,921;7,861;4,747;634,25;610,75;22,75;118432,74;4170;13,69;5,98;953,33;28,86
