p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
2,343;11,243;6,592;726,5;698,5;27;135542,17;3876;22,6;9,17;953,36;28,44
2,346;11,124;6,595;726,75;698,5;27,25;135470,75;3876;22,6;9,17;953,37;28,42
2,35;10,876;6,588;726,5;698,5;27,25;135511,55;3876;22,6;9,17;953,34;28,44
2,347;10,962;6,595;727;698,5;27,25;135521,77;3962;22,6;9,38;953,32;28,42
2,344;10,819;6,592;727,25;698;26,75;135557,47;3962;22,6;9,38;953,37;28,47
2,34;10,866;6,588;727,5;698;27,25;135608,55;3962;22,6;9,38;953,31;28,42
2,347;10,772;6,592;727,5;698,25;27,25;135567,69;3962;22,6;9,38;953,36;28,44
2,346;11,426;6,595;727,25;697,75;26,75;135598,33;3962;22,6;9,38;953,36;28,47
2,343;10,835;6,588;727,5;697,5;27;135526,86;4010;23,02;9,67;953,35;28,47
2,35;10,544;6,595;727,5;697,75;27,25;135511,55;4010;23,02;9,67;953,32;28,44
2,344;11,021;6,603;727;697,5;27;135531,95;4010;23,02;9,67;953,33;28,47
2,348;10,673;6,584;726,75;697,75;27,25;135572,8;4010;23,02;9,67;953,4;28,42
2,347;10,866;6,603;727;698;27,25;135618,77;4010;23,02;9,67;953,37;28,42
2,347;11,033;6,603;727,25;698;27,25;135583;4010;23,02;9,67;953,35;28,47
2,35;10,73;6,61;727;697,75;27,25;135603,44;4010;23,02;9,67;953,39;28,42
2,346;11,042;6,603;727,25;698;27,25;135613,66;4010;23,02;9,67;953,35;28,44
2,349;10,955;6,588;727;698;27,25;135572,8;4010;23,02;9,67;953,32;28,44
2,343;10,865;6,592;727;698;27,25;135552,38;4010;23,02;9,67;953,42;28,44
2,337;10,876;6,581;726,75;697,75;26,75;135516,66;4010;23,02;9,67;953,37;28,42
2,346;10,801;6,599;727;697,5;26,75;135506,45;4027;23,02;9,71;953,37;28,42
2,347;10,956;6,592;727;697,75;27,25;135547,27;4027;23,02;9,71;953,4;28,44
2,348;10,936;6,599;727;697,5;27,25;135583;4027;23,02;9,71;953,39;28,47
2,343;11,321;6,588;726,75;697;27;135634,09;4027;23,02;9,71;953,33;28,44
2,351;10,936;6,599;727;696,25;26,75;135598,33;4027;23,02;9,71;953,39;28,47
2,344;11,052;6,595;727,25;697,5;26,75;135572,8;4027;23,02;9,71;953,37;28,44
2,345;10,744;6,588;727;698;27,25;135526,86;4027;22,81;9,62;953,39;28,44
2,347;10,729;6,588;727,25;698,25;27;135562,59;4027;22,81;9,62;953,37;28,44
2,343;10,876;6,577;727,25;698;26,75;135557,47;4027;22,81;9,62;953,32;28,42
2,347;10,786;6,592;727,5;698;26,75;135593,22;4027;22,81;9,62;953,38;28,44
2,347;10,846;6,606;727,25;698;27;135583;4027;22,81;9,62;953,34;28,47
2,34;11,064;6,599;727,5;698,25;27,25;135552,38;4018;23,23;9,77;953,38;28,44
2,344;10,627;6,603;727,25;697,75;27;135521,77;4018;23,23;9,77;953,36;28,44
2,343;10,891;6,584;727,25;697,25;26,75;135475,86;4018;23,23;9,77;953,36;28,47
2,343;10,732;6,592;727,5;697,75;27,25;135486,05;4018;23,23;9,77;953,39;28,44
2,344;10,925;6,595;727,5;698;26,75;135450,36;4018;23,23;9,77;953,38;28,44
2,346;10,943;6,581;727,5;697,75;27;135455,47;4018;23,23;9,77;953,36;28,44
2,344;10,826;6,592;727,5;698,25;27,25;135440,19;4018;23,23;9,77;953,38;28,42
2,34;10,823;6,595;726,25;698,25;27,25;135429,98;4018;23,23;9,77;953,3;28,36
2,343;10,927;6,599;727,5;698,25;27,25;135435,09;4018;23,23;9,77;953,35;28,47
2,333;10,794;6,603;727,25;698,5;27,25;135435,09;4018;23,23;9,77;953,34;28,44
2,343;10,785;6,599;727,25;698,5;27,25;135429,98;4018;23,23;9,77;953,34;28,44
2,343;10,859;6,581;727,25;698,5;27,25;135501,36;3971;23,23;9,66;953,32;28,44
2,347;10,906;6,592;727,25;698,75;27,25;135465,66;3971;23,23;9,66;953,37;28,47
2,343;10,875;6,592;727;698,75;27,25;135480,95;3971;23,23;9,66;953,34;28,44
2,339;11,017;6,592;727;698,75;27,25;135465,66;3971;23,23;9,66;953,37;28,47
2,343;10,555;6,595;726,75;699;27,25;135506,45;3971;23,23;9,66;953,34;28,47
2,347;11,141;6,592;726,75;699;27,25;135486,05;3971;23,23;9,66;953,38;28,47
2,346;10,888;6,595;727;699;27,25;135455,47;3971;23,43;9,74;953,34;28,44
2,345;10,906;6,592;726,75;699;27,25;135455,47;3971;23,43;9,74;953,34;28,47
2,343;11,006;6,581;726,75;699,5;27,25;135450,36;3971;23,43;9,74;953,34;28,47
2,347;10,974;6,592;726,75;699,5;27,25;135480,95;3971;23,43;9,74;953,33;28,44
2,346;10,981;6,603;726,5;699,75;27,25;135465,66;3971;23,43;9,74;953,33;28,44
2,343;10,978;6,595;726,75;699,5;27,25;135445,28;3920;23,43;9,62;953,37;28,52
2,337;10,851;6,599;727;699,5;27,25;135429,98;3920;23,43;9,62;953,34;28,47
