p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
2,326;11,154;6,563;716;688;21,75;136100,72;6729;15,97;11,25;953,28;25,74
2,33;11,343;6,577;716;688,25;21,75;136095,58;6729;15,97;11,25;953,31;25,74
2,326;11,287;6,559;716;688,25;21,75;136126,45;6729;15,97;11,25;953,31;25,74
2,327;11,015;6,566;716;688,25;21,75;136126,45;6729;15,97;11,25;953,31;25,74
2,33;11,074;6,559;716;688;21,75;136121,3;6729;15,97;11,25;953,31;25,74
2,331;11,147;6,573;716;688;21,75;136147,05;6729;15,76;11,11;953,27;25,74
2,326;10,944;6,563;716;688;21,75;136141,89;6729;15,76;11,11;953,27;25,74
2,33;11,266;6,57;716;688,25;21,75;136157,34;6729;15,76;11,11;953,31;25,74
2,324;11,133;6,566;716;688,25;21,75;136074,98;6729;15,76;11,11;953,26;25,74
2,327;11,046;6,566;715,75;688;21,75;136116,16;6729;15,76;11,11;953,32;25,74
2,329;11,005;6,563;715,5;688,25;21,75;136095,58;6729;15,76;11,11;953,29;25,74
2,327;10,899;6,563;715,5;688;22;136100,72;6761;15,97;11,31;953,31;25,74
2,33;11,099;6,573;715,5;688,5;22;136126,45;6761;15,97;11,31;953,27;25,74
2,33;11,244;6,563;715,75;688,5;22;136126,45;6761;15,97;11,31;953,31;25,74
2,327;10,968;6,57;715,5;688,5;22;136126,45;6761;15,97;11,31;953,31;25,74
2,33;10,958;6,577;715,5;688,25;21,75;136141,89;6761;15,97;11,31;953,29;25,74
2,33;11,122;6,573;715,75;688,25;21,75;136131,59;6761;15,97;11,31;953,29;25,71
2,327;11,38;6,563;715,75;688;21,75;136121,3;6761;15,97;11,31;953,3;25,74
2,327;10,965;6,548;715,75;688;21,75;136126,45;6761;15,97;11,31;953,29;25,76
2,327;11,04;6,566;715,75;688;21,75;136090,44;6761;15,97;11,31;953,28;25,71
2,328;11,083;6,563;716;688;21,5;136162,48;6761;15,97;11,31;953,3;25,74
2,328;11,057;6,563;716;688;21,75;136126,45;6761;15,97;11,31;953,28;25,71
2,331;11,231;6,552;716;688;21,75;136152,19;6765;15,76;11,16;953,25;25,74
2,326;11,129;6,563;716;688;21,75;136157,34;6765;15,76;11,16;953,34;25,76
2,33;11,238;6,555;716;688;21,5;136162,48;6765;15,76;11,16;953,28;25,71
2,33;11,374;6,563;716;688,25;21,5;136162,48;6765;15,76;11,16;953,28;25,74
2,32;11,361;6,559;716;688,25;21,5;136013,31;6765;15,76;11,16;953,28;25,74
2,329;11,443;6,566;715,75;688;21,5;136028,72;6765;16,18;11,46;953,3;25,74
2,33;11,101;6,57;715,75;688;21,5;136121,3;6765;16,18;11,46;953,28;25,74
2,327;11,179;6,559;715,75;688;21,25;136111,02;6765;16,18;11,46;953,28;25,74
2,33;11,341;6,563;715,75;688,25;21,5;136136,75;6765;16,18;11,46;953,28;25,71
2,332;11,497;6,563;715,75;688,25;21,5;136147,05;6765;16,18;11,46;953,26;25,74
2,33;11,076;6,57;716;688;21,5;136121,3;6765;16,18;11,46;953,28;25,74
2,33;11,061;6,577;716;687,75;21,5;136121,3;6742;16,18;11,42;953,28;25,74
2,334;11,24;6,563;716;687,75;21,5;136090,44;6742;16,18;11,42;953,33;25,74
2,33;11,064;6,563;716;688;21,5;136100,72;6742;16,18;11,42;953,31;25,74
2,331;11,073;6,573;715,75;688;21,5;136126,45;6742;16,18;11,42;953,28;25,74
2,329;11,08;6,566;715,75;688;21,5;136049,28;6742;16,18;11,42;953,3;25,74
2,329;11,437;6,559;715,75;688;21,5;136059,56;6742;15,76;11,13;953,3;25,74
2,334;11,076;6,563;715,75;687,75;21,25;136085,28;6742;15,76;11,13;953,25;25,76
2,33;11,151;6,577;716;687,75;21,5;136069,84;6742;15,76;11,13;953,28;25,74
2,331;11,437;6,563;716;687,75;21,5;136105,86;6742;15,76;11,13;953,28;25,74
2,334;10,848;6,573;716;687,5;21,5;136157,34;6742;15,76;11,13;953,29;25,71
2,337;11,359;6,563;716;687,75;21,5;136193,39;6742;15,76;11,13;953,35;25,74
2,334;11,318;6,566;716,25;687,75;21,5;136193,39;6714;15,97;11,23;953,28;25,74
2,333;11,426;6,559;716,25;687,75;21,5;136239,78;6714;15,97;11,23;953,3;25,74
2,337;11,184;6,563;716,25;687,75;21,5;136208,84;6714;15,97;11,23;953,24;25,74
2,33;11,491;6,563;716,25;688;21,5;136183,09;6714;15,97;11,23;953,28;25,74
2,332;11,319;6,566;716;688;21,5;136188,23;6714;15,97;11,23;953,34;25,71
