p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
2,334;11,322;6,57;730;686,5;25,5;136054,42;4468;23,02;10,77;953,36;27,48
2,33;11,312;6,577;730;686,5;25,5;135997,88;4468;23,02;10,77;953,38;27,46
2,33;11,311;6,566;730;686,75;25,5;136013,31;4468;23,02;10,77;953,38;27,48
2,336;11,176;6,573;730;686,75;25,5;136172,78;4468;23,02;10,77;953,4;27,48
2,33;11,277;6,57;729,75;686,75;25,5;136188,23;4468;23,02;10,77;953,36;27,48
2,337;11,113;6,566;730;687;25,5;136136,75;4468;23,02;10,77;953,46;27,48
2,33;11,166;6,566;730;687;25,5;136095,58;4468;23,02;10,77;953,39;27,46
2,333;11,343;6,563;730;686,75;25,5;136141,89;4468;23,02;10,77;953,4;27,48
2,337;11,095;6,566;730;687;25,5;136198,55;4477;23,02;10,79;953,39;27,48
2,337;11,133;6,584;730,25;687;25,5;136136,75;4477;23,02;10,79;953,45;27,46
2,33;11,113;6,566;730;687;25,5;136116,16;4477;23,02;10,79;953,39;27,48
2,333;11,191;6,573;730;687;25,5;136095,58;4477;23,02;10,79;953,38;27,48
2,334;11,488;6,581;730;687;25,5;136085,28;4477;23,02;10,79;953,44;27,48
2,333;11,073;6,577;729,75;686,75;25,5;136116,16;4477;23,02;10,79;953,4;27,48
2,335;11,443;6,57;729,75;687;25,5;136095,58;4477;23,02;10,79;953,39;27,48
2,33;11,191;6,577;730;686,75;25,5;136136,75;4477;23,02;10,79;953,39;27,46
2,334;11,173;6,563;730;686,75;25,5;136095,58;4477;23,02;10,79;953,39;27,48
2,33;11,027;6,559;730,25;686,5;25,5;136028,72;4477;23,02;10,79;953,35;27,46
2,337;11,161;6,566;730;686,25;25,5;136152,19;4477;23,02;10,79;953,39;27,48
2,328;11,178;6,584;730,25;686,5;25,5;136131,59;4471;23,23;10,87;953,41;27,48
2,33;11,154;6,57;730;686,75;25,5;136136,75;4471;23,23;10,87;953,4;27,46
2,329;10,81;6,566;730;686,75;25,5;136074,98;4471;23,23;10,87;953,39;27,46
2,329;11,138;6,563;730,25;686,5;25,5;136085,28;4471;23,23;10,87;953,4;27,46
2,337;11,065;6,581;730,25;686,5;25,5;136126,45;4471;23,23;10,87;953,39;27,48
2,337;11,281;6,573;730,25;686,5;25,5;136126,45;4471;23,23;10,87;953,37;27,46
2,333;11,281;6,577;730,5;686,5;25,5;136147,05;4471;23,23;10,87;953,36;27,46
2,336;10,995;6,57;730,5;686,5;25,5;136167,64;4471;23,23;10,87;953,38;27,48
2,333;11,476;6,577;730,5;686,5;25,5;136147,05;4471;23,23;10,87;953,37;27,48
2,334;11,238;6,577;730,5;686,5;25,5;136152,19;4471;23,23;10,87;953,37;27,48
2,344;11,297;6,566;730,5;686,5;25,5;136198,55;4471;23,23;10,87;953,35;27,48
2,334;11,213;6,573;730,25;686,5;25,5;136219,16;4439;23,23;10,8;953,4;27,48
2,331;11,235;6,573;729,25;686,5;23,75;136162,48;4439;23,23;10,8;953,43;27,48
2,333;11,08;6,563;729,5;686,25;25;136152,19;4439;23,23;10,8;953,35;27,48
2,337;11;6,57;729,75;686,5;25,5;136141,89;4439;23,23;10,8;953,38;27,53
2,33;11,029;6,566;730;686;25,25;136105,86;4439;23,23;10,8;953,35;27,48
2,327;11,309;6,581;730;686,5;25,5;136059,56;4439;23,23;10,8;953,37;27,48
2,33;11,094;6,584;730;686,5;25,5;136069,84;4439;23,02;10,7;953,35;27,48
2,327;11,218;6,57;730;686,5;25,5;136126,45;4439;23,02;10,7;953,36;27,53
2,334;11,167;6,573;729,75;686,25;25;136080,13;4439;23,02;10,7;953,4;27,48
2,327;11,071;6,57;730;686,25;25,25;136100,72;4439;23,02;10,7;953,39;27,53
2,337;11,26;6,563;729,75;686,25;25;136116,16;4439;23,02;10,7;953,39;27,53
2,326;11,367;6,57;728,5;686,25;24,25;136121,3;4423;22,81;10,57;953,36;27,53
2,333;11,215;6,577;729;686;25;136105,86;4423;22,81;10,57;953,39;27,48
2,332;10,962;6,577;729,75;686;25,5;136111,02;4423;22,81;10,57;953,38;27,53
2,337;11,092;6,559;730;686;25,5;136131,59;4423;22,81;10,57;953,39;27,48
2,337;11,132;6,573;730,25;686;25,5;136095,58;4423;22,81;10,57;953,37;27,53
2,337;11,108;6,559;730,25;686;25,5;136090,44;4423;22,81;10,57;953,39;27,48
2,34;11,185;6,563;730,25;686;25,5;136064,7;4410;23,23;10,73;953,38;27,48
2,333;11,247;6,566;730,25;686;25,5;136069,84;4410;23,23;10,73;953,43;27,48
2,337;10,998;6,584;730,25;686;25,5;136054,42;4410;23,23;10,73;953,38;27,53
2,336;11,277;6,573;730,25;686;25,5;136059,56;4410;23,23;10,73;953,42;27,46
2,33;11,395;6,573;730,25;686;25,5;135992,75;4410;23,23;10,73;953,44;27,53
2,337;11,259;6,563;730,25;686;25,25;136049,28;4410;23,23;10,73;953,4;27,53
2,334;11,259;6,573;730,25;686,25;24,25;136090,44;4410;23,23;10,73;953,4;27,53
2,333;10,724;6,573;729,75;686;20,25;136085,28;4410;23,23;10,73;953,39;27,46
2,333;11,223;6,573;728;685;22,5;136064,7;4410;23,23;10,73;953,38;27,48
2,334;11,108;6,573;730,25;682,75;25,5;136105,86;4410;23,23;10,73;953,4;27,48
2,328;11,045;6,573;730,5;682;25,5;136111,02;4410;23,23;10,73;953,38;27,48
2,333;11,094;6,57;730,5;684;25,5;136059,56;4402;23,02;10,61;953,39;27,48
2,331;11,278;6,584;730;684,75;25;136080,13;4402;23,02;10,61;953,41;27,48
2,337;11,355;6,566;730,25;685;23;136100,72;4402;23,02;10,61;953,44;27,46
2,337;10,953;6,57;730,25;686;21;136126,45;4402;23,02;10,61;953,4;27,53
2,337;10,978;6,573;730,5;686;18,25;136157,34;4402;23,02;10,61;953,41;27,48
2,335;11,24;6,57;730,25;685,75;21,25;136136,75;4402;23,23;10,71;953,45;27,48
2,33;11,209;6,566;730;686;23;136162,48;4402;23,23;10,71;953,38;27,53
2,323;11,22;6,57;730,5;685,75;25;136167,64;4402;23,23;10,71;953,39;27,53
2,331;10,871;6,584;730,75;685,25;25,5;136147,05;4402;23,23;10,71;953,39;27,48
2,332;11,274;6,563;730,75;685,5;25,5;136105,86;4402;23,23;10,71;953,42;27,48
2,323;10,974;6,577;730,75;685,75;25,5;136172,78;4402;23,23;10,71;953,42;27,53
2,33;10,996;6,57;730,75;685,75;25,5;136147,05;4405;22,81;10,52;953,38;27,48
2,327;11,179;6,566;729,5;686;21,75;136095,58;4405;22,81;10,52;953,39;27,48
2,323;11,126;6,57;728,5;686;19,5;136167,64;4405;22,81;10,52;953,32;27,48
2,328;11,268;6,573;728;686;17,5;136126,45;4405;22,81;10,52;953,38;27,53
2,327;11,054;6,559;728;685,75;18,5;136141,89;4405;22,81;10,52;953,39;27,53
2,327;10,822;6,57;728,5;685,75;20,75;136177,94;4405;23,23;10,71;953,42;27,48
2,33;11,365;6,573;730;685,75;24,5;136239,78;4405;23,23;10,71;953,42;27,48
2,327;11,244;6,57;730,75;685,75;25,5;136208,84;4405;23,23;10,71;953,38;27,48
2,33;10,996;6,581;730,75;686;25,5;136162,48;4405;23,23;10,71;953,4;27,56
2,326;11,34;6,573;730,75;686;25,5;136188,23;4405;23,23;10,71;953,37;27,53
2,339;11,091;6,566;730,5;686;25,25;136239,78;4405;23,23;10,71;953,37;27,56
2,327;10,984;6,581;730,25;686,25;24,5;136255,25;4379;23,23;10,65;953,4;27,48
2,327;11,141;6,566;730;686,25;23,25;136244,94;4379;23,23;10,65;953,38;27,53
2,335;11,147;6,573;730,25;686,25;23;136244,94;4379;23,23;10,65;953,38;27,48
2,337;11,012;6,577;730;686;22,75;136291,36;4379;23,23;10,65;953,39;27,53
2,33;11,063;6,563;730;686;23,25;136327,48;4379;23,23;10,65;953,37;27,53
2,333;11,096;6,566;730,25;686;25;136306,84;4379;23,23;10,65;953,37;27,53
2,333;11,166;6,581;730,25;685,5;25,5;136286,2;4379;23,23;10,65;953,36;27,53
2,327;11,294;6,566;730,25;685,25;25,5;136214;4379;23,23;10,65;953,45;27,53
2,34;10,956;6,581;730,25;685,25;25,5;136224,31;4379;23,23;10,65;953,37;27,53
2,333;11,031;6,57;730,25;685,25;25,5;136250,09;4379;23,23;10,65;953,38;27,56
2,34;11,096;6,566;730,25;685,25;25,25;136239,78;4379;23,23;10,65;953,38;27,53
2,33;10,797;6,566;730,25;686;25;136244,94;4369;23,43;10,72;953,37;27,56
2,332;11,151;6,57;730,25;686;24,75;136234,63;4369;23,43;10,72;953,42;27,56
2,333;11,12;6,584;730,25;686,25;24;136208,84;4369;23,43;10,72;953,35;27,53
2,331;11,085;6,581;730,25;686,25;25;136229,47;4369;23,43;10,72;953,4;27,48
2,329;11,151;6,577;730,25;686;24,75;136172,78;4369;23,43;10,72;953,41;27,56
2,327;11,343;6,57;730,5;685,5;25,5;136224,31;4373;23,23;10,64;953,37;27,53
