p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
1,942;8,126;4,834;630;613,5;24;119383,19;6286;9,54;6,28;953,39;28,89
1,942;7,963;4,845;630,25;613,75;24,25;119399,02;6286;9,54;6,28;953,42;28,89
1,944;7,955;4,849;630,25;613,75;24,25;119391,11;6286;9,54;6,28;953,4;28,92
1,942;7,839;4,849;630;613,75;24;119402,98;6286;9,54;6,28;953,41;28,92
1,943;7,91;4,845;630;613,75;24;119399,02;6286;9,54;6,28;953,38;28,89
1,945;7,922;4,853;630;613,75;24;119359,44;6286;9,75;6,42;953,4;28,89
1,936;7,901;4,856;629,75;613,75;24;119308,02;6286;9,75;6,42;953,42;28,92
1,939;8,072;4,867;629,75;613,75;24;119304,06;6286;9,75;6,42;953,42;28,89
1,942;8,078;4,842;629,75;614;24;119351,52;6286;9,75;6,42;953,4;28,92
1,939;8,171;4,849;629,75;613,75;24;119351,52;6286;9,75;6,42;953,45;28,86
1,942;7,907;4,853;629,75;614;24;119355,48;6296;9,54;6,29;953,4;28,92
1,938;8,065;4,856;629,75;614;23,75;119383,19;6296;9,54;6,29;953,42;28,89
1,939;7,94;4,853;630;614;24;119383,19;6296;9,54;6,29;953,36;28,89
1,942;7,98;4,856;629,75;614;24;119395,06;6296;9,54;6,29;953,42;28,86
1,944;8,105;4,863;630;614;24;119387,15;6296;9,54;6,29;953,4;28,86
1,939;8,187;4,849;629,75;614;24;119323,83;6296;9,54;6,29;953,35;28,92
1,938;7,94;4,856;630;614;23,75;119347,56;6282;9,54;6,28;953,36;28,86
1,945;7,887;4,853;629,75;614;23,75;119343,61;6282;9,54;6,28;953,39;28,89
1,945;7,939;4,838;629,75;614;24;119371,31;6282;9,54;6,28;953,41;28,92
1,938;8,227;4,849;629,75;614;24;119335,7;6282;9,54;6,28;953,39;28,92
1,939;8,074;4,838;629,75;614;24;119331,74;6282;9,54;6,28;953,39;28,89
1,942;7,869;4,845;629,75;614,25;24;119359,44;6282;9,54;6,28;953,43;28,89
1,939;7,866;4,834;629,75;614,25;24;119371,31;6282;9,54;6,28;953,38;28,86
1,945;7,931;4,849;629,75;614,25;24;119387,15;6282;9,54;6,28;953,42;28,86
1,938;7,917;4,845;629,75;614,25;24;119359,44;6282;9,54;6,28;953,4;28,89
1,938;7,822;4,845;629,75;614;24;119391,11;6282;9,54;6,28;953,43;28,89
1,938;7,957;4,853;629,75;614;24;119387,15;6282;9,54;6,28;953,4;28,89
1,942;7,951;4,845;629,75;614;24;119367,36;6293;9,54;6,29;953,4;28,89
1,938;7,983;4,86;629,75;614;24;119304,06;6293;9,54;6,29;953,42;28,89
1,934;8,069;4,849;629,75;614;24;119228,98;6293;9,54;6,29;953,39;28,89
1,939;7,919;4,849;629,75;613,75;24;119201,35;6293;9,54;6,29;953,37;28,84
1,935;7,917;4,849;629,5;613,75;24;119173,73;6293;9,54;6,29;953,38;28,86
1,936;7,76;4,86;629,5;613,75;24;119142,17;6293;9,54;6,29;953,39;28,86
1,939;8,065;4,838;629,5;613,75;24;119161,9;6293;9,54;6,29;953,4;28,86
1,938;7,975;4,853;629,75;613,75;24;119165,84;6293;9,54;6,29;953,43;28,86
1,935;7,934;4,845;629,75;613,5;24;119189,51;6293;9,54;6,29;953,43;28,89
1,938;8,209;4,842;629,75;613,5;24;119209,25;6293;9,54;6,29;953,4;28,86
1,938;7,664;4,845;629,75;613,25;24;119165,84;6293;9,54;6,29;953,37;28,89
1,935;8,001;4,845;629,75;613,25;24;119146,12;6297;9,54;6,29;953,4;28,89
1,939;7,878;4,856;629,75;613,25;24;119138,23;6297;9,54;6,29;953,4;28,86
1,935;7,857;4,853;629,75;613,25;24;119165,84;6297;9,54;6,29;953,4;28,86
1,937;8,148;4,856;630;613;24;119173,73;6297;9,54;6,29;953,45;28,86
1,935;7,955;4,834;630,25;612,75;24;119169,78;6297;9,54;6,29;953,38;28,84
1,942;7,996;4,849;630,25;612,75;24;119197,41;6297;9,54;6,29;953,38;28,89
1,938;8,192;4,849;630,25;612,75;24;119189,51;6297;9,54;6,29;953,41;28,86
1,939;7,933;4,849;630,25;612,5;24;119209,25;6297;9,54;6,29;953,38;28,84
1,936;7,743;4,849;630,25;612,75;24;119213,2;6297;9,54;6,29;953,37;28,86
1,939;7,782;4,853;630,25;612,75;24;119260,59;6297;9,54;6,29;953,42;28,86
1,935;7,763;4,838;630,25;612,75;24;119284,29;6297;9,54;6,29;953,39;28,86
1,938;8,061;4,856;630,5;612,75;23,75;119304,06;6277;9,33;6,13;953,43;28,86
1,937;8,15;4,845;630,5;613;23,75;119311,97;6277;9,33;6,13;953,4;28,86
1,935;8,043;4,853;630,5;613;23,75;119284,29;6277;9,33;6,13;953,42;28,84
1,935;8,138;4,856;630,5;613;23,75;119264,54;6277;9,33;6,13;953,4;28,84
1,936;7,822;4,853;630,25;613;23,75;119225,04;6277;9,33;6,13;953,41;28,86
1,932;7,883;4,842;630,25;613;23,75;119189,51;6289;9,54;6,28;953,46;28,86
1,936;8,053;4,849;630,25;613;23,75;119244,78;6289;9,54;6,28;953,45;28,84
1,935;7,905;4,853;630,25;613,25;23,75;119236,88;6289;9,54;6,28;953,45;28,84
1,935;8,104;4,838;630,25;613;23,75;119217,14;6289;9,54;6,28;953,42;28,84
1,935;7,832;4,845;630,25;613;23,75;119236,88;6289;9,54;6,28;953,4;28,84
1,939;8,166;4,849;630,25;613;23,75;119232,94;6289;9,54;6,28;953,42;28,84
1,937;8,026;4,842;630,25;613;23,75;119221,09;6289;9,33;6,15;953,4;28,84
1,938;8,032;4,849;629,5;613;23,5;119181,63;6289;9,33;6,15;953,42;28,86
1,932;7,798;4,838;629,75;612,75;23,5;119177,67;6289;9,33;6,15;953,4;28,84
1,935;7,911;4,845;629,5;612,75;23,25;119161,9;6289;9,33;6,15;953,32;28,86
1,939;7,892;4,856;629,75;612,75;23,75;119209,25;6289;9,33;6,15;953,39;28,86
1,939;8,199;4,849;629,75;612,75;23,75;119201,35;6262;9,54;6,26;953,46;28,89
1,942;8,083;4,838;629,75;612,75;23,75;119240,83;6262;9,54;6,26;953,41;28,84
1,943;7,927;4,849;629,75;612,5;23,75;119280,34;6262;9,54;6,26;953,35;28,86
1,935;7,922;4,842;629,75;612,75;23,75;119268,48;6262;9,54;6,26;953,4;28,86
1,939;8,479;4,842;630;612,75;24;119319,88;6262;9,54;6,26;953,45;28,84
1,941;8,034;4,849;630;613;24;119331,74;6262;9,54;6,26;953,4;28,86
1,935;8,116;4,831;630;613;24;119319,88;6262;9,54;6,26;953,44;28,84
1,932;7,836;4,856;630;613,25;24;119367,36;6262;9,54;6,26;953,41;28,86
1,942;7,981;4,856;630;613,25;23,75;119355,48;6262;9,54;6,26;953,43;28,78
