p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
1,066;0,728;1,579;674,5;658;19,75;43013,32;968;2,07;0,21;953,44;29,94
1,066;0,7;1,604;674,25;658,25;19,75;43072,5;968;2,07;0,21;953,44;29,92
1,069;0,667;1,575;674,75;659,5;19,75;43111,19;968;2,07;0,21;953,5;29,94
1,07;0,467;1,593;675;659,75;19,75;43079,72;968;2,07;0,21;953,45;29,94
1,066;0,741;1,597;675,25;659,75;19,75;43131,34;968;2,07;0,21;953,42;29,92
1,066;0,603;1,579;675,5;660,25;19,75;43178,41;968;2,07;0,21;953,42;29,94
1,07;0,553;1,59;676,25;660,75;19,75;43287,96;951;2,07;0,21;953,44;29,92
1,07;0,543;1,582;677;661,75;19,75;43357,82;951;2,07;0,21;953,41;29,92
1,066;0,644;1,582;677,5;662;19,75;43202,25;951;2,07;0,21;953,4;29,92
1,066;0,625;1,582;676,5;660,75;19,75;43131,85;951;2,07;0,21;953,42;29,94
1,069;0,506;1,593;676,25;660,5;19,75;43104,48;951;2,07;0,21;953,42;29,92
1,07;0,625;1,579;676;660,25;19,75;43074,05;951;2,07;0,21;953,42;29,92
1,069;0,657;1,575;675,75;660,5;19,75;43203,8;951;2,07;0,21;953,44;29,92
1,07;0,723;1,597;676,5;661,25;19,75;43247,92;951;2,07;0,21;953,42;29,92
1,069;0,523;1,582;677,25;661,5;19,75;43238,57;951;2,07;0,21;953,45;29,92
1,07;0,568;1,579;677,5;661,5;19,75;43321,82;951;2,07;0,21;953,44;29,94
1,07;0,682;1,575;678;662,25;19,75;43416,39;951;2,07;0,21;953,37;29,92
1,07;0,79;1,575;679,5;663,25;19,75;43498,75;947;2,07;0,21;953,46;29,92
1,07;0,668;1,564;680;663,5;19,75;43520,84;947;2,07;0,21;953,4;29,87
1,073;0,565;1,579;680,5;663,75;19,75;43622,09;947;2,07;0,21;953,41;29,92
1,072;0,616;1,582;680,75;664,75;19,75;43773,25;947;2,07;0,21;953,42;29,87
1,073;0,657;1,575;681,75;665,75;19,75;43919,04;947;2,07;0,21;953,43;29,87
1,073;0,642;1,593;682,75;667,25;19,5;43972,69;947;2,07;0,21;953,42;29,94
1,072;0,602;1,568;682,75;667,5;19,75;44024,85;957;2,07;0,21;953,43;29,92
1,073;0,733;1,582;682,75;667,5;19,5;44056,64;957;2,07;0,21;953,43;29,92
1,073;0,569;1,579;682,75;667,25;19,5;43954,97;957;2,07;0,21;953,45;29,92
1,069;0,678;1,582;682,25;666,5;19,5;43807,35;957;2,07;0,21;953,44;29,92
1,069;0,489;1,593;680,25;664,25;19,5;43657,53;957;2,07;0,21;953,4;29,92
1,073;0,471;1,582;679,25;663,75;19,5;43698,34;957;2,07;0,21;953,46;29,92
1,073;0,509;1,586;679,25;663,75;19,5;43728,06;957;2,07;0,21;953,43;29,92
1,069;0,385;1,575;679,25;664,25;19,5;43687,73;957;2,07;0,21;953,41;29,87
1,069;0,57;1,568;679,25;663,75;19,5;43470,38;957;2,07;0,21;953,43;29,92
1,066;0,533;1,579;677,5;661,75;19,5;43359,91;957;2,07;0,21;953,43;29,92
1,07;0,509;1,586;676,75;661,25;19,5;43319,73;957;2,07;0,21;953,44;29,92
1,069;0,716;1,579;676,25;660,75;19,5;43299,93;970;2,07;0,21;953,48;29,92
1,066;0,565;1,575;676,25;660,75;19,5;43286,92;970;2,07;0,21;953,45;29,94
1,073;0,664;1,575;676,25;660,75;19,5;43446,25;970;2,07;0,21;953,46;29,92
1,072;0,724;1,586;677,75;662,5;19,5;43577,2;970;2,07;0,21;953,43;29,87
1,07;0,542;1,575;678,75;663,5;19,5;43730,19;970;2,07;0,21;953,43;29,92
1,07;0,579;1,568;680,5;664,5;19,5;43868,73;970;2,07;0,21;953,4;29,92
1,073;0,615;1,593;681,25;666;19,5;44016,77;970;2,07;0,21;953,43;29,92
1,073;0,651;1,575;682;667;19,5;44031,85;970;2,07;0,21;953,43;29,92
1,072;0,493;1,579;682;667;19,5;43843,09;970;2,07;0,21;953,44;29,87
1,073;0,582;1,571;681;665;19,5;43793,49;970;2,07;0,21;953,47;29,87
1,07;0,647;1,568;680;664,75;19,5;43856,98;970;2,07;0,21;953,4;29,87
1,073;0,668;1,582;680;665;19,5;43899,76;962;2,07;0,21;953,45;29,92
1,069;0,629;1,579;680;665,25;19,5;43942,63;962;2,07;0,21;953,42;29,92
1,072;0,493;1,575;680;665,25;19,5;43972,15;962;2,07;0,21;953,45;29,92
1,073;0,562;1,579;680;665,5;19,5;44005,48;962;2,07;0,21;953,42;29,87
1,068;0,695;1,579;680;665,75;19,5;43812,14;962;2,07;0,21;953,41;29,92
1,07;0,734;1,571;679;663,25;19,5;43622,09;962;2,07;0,21;953,42;29,87
1,066;0,694;1,56;678;662,25;19,5;43507,16;962;2,07;0,21;953,41;29,92
1,069;0,57;1,571;676,75;661,5;19,5;43453,07;962;2,07;0,21;953,43;29,92
1,07;0,813;1,575;676,25;660,75;19,5;43390,75;962;2,07;0,21;953,43;29,92
1,07;0,576;1,582;675,75;660,5;19,5;43319,21;962;2,07;0,21;953,41;29,87
1,07;0,708;1,575;675,25;659,75;19,5;43264,55;962;2,07;0,21;953,48;29,87
1,066;0,556;1,575;675;659,25;19,5;43211,06;970;2,07;0,21;953,42;29,94
1,066;0,659;1,582;675,25;659,25;19,5;43221,96;970;2,07;0,21;953,42;29,87
1,068;0,727;1,564;675,25;659,25;19,5;43305,15;970;2,07;0,21;953,45;29,87
1,07;0,687;1,575;676;659,5;19,5;43246,36;970;2,07;0,21;953,44;29,87
1,07;0,713;1,579;676;659,25;19,5;43177,89;970;2,07;0,21;953,48;29,87
1,066;0,678;1,564;676,25;658,75;19,5;43210,02;970;2,07;0,21;953,4;29,87
1,069;0,651;1,564;677,5;659;19,5;43368,27;970;2,07;0,21;953,44;29,87
1,07;0,454;1,579;678,25;660,75;19,5;43507,16;970;2,07;0,21;953,45;29,84
1,07;0,522;1,579;679;661,75;19,5;43619,45;970;2,07;0,21;953,48;29,92
1,07;0,737;1,571;681;663,25;19,5;43806,81;970;2,07;0,21;953,46;29,87
1,072;0,381;1,571;682;664,5;19,5;43898,16;970;2,07;0,21;953,41;29,87
1,07;0,572;1,571;682,75;665;19,5;43888,52;956;2,07;0,21;953,44;29,84
1,07;0,503;1,575;682,75;664,75;19,5;43890,13;956;2,07;0,21;953,44;29,84
1,073;0,611;1,575;682,5;664,75;19,5;43954,97;956;2,07;0,21;953,43;29,87
1,073;0,661;1,571;682,75;665;19,5;43991,5;956;2,07;0,21;953,44;29,84
1,074;0,601;1,571;682,5;665,25;19,5;44111,7;956;2,07;0,21;953,42;29,84
1,069;0,552;1,568;682,75;665,5;19,5;43916,36;963;2,07;0,21;953,38;29,87
1,07;0,805;1,571;681,5;663,75;19,5;43722,75;963;2,07;0,21;953,4;29,84
1,069;0,635;1,568;680,25;662,75;19,5;43643,24;963;2,07;0,21;953,41;29,84
1,069;0,599;1,568;678,5;662,25;19,5;43643,24;963;2,07;0,21;953,43;29,87
1,069;0,376;1,557;678,25;662;19,5;43475,11;963;2,07;0,21;953,43;29,84
1,07;0,414;1,564;676,75;661,25;19,5;43393,88;963;2,07;0,21;953,4;29,84
1,07;0,364;1,568;676,5;660,75;19,5;43501,38;963;2,07;0,21;953,42;29,84
1,069;0,599;1,564;676,75;661,25;19,5;43614,16;963;2,07;0,21;953,39;29,84
1,073;0,606;1,571;678,5;662;19,5;43776,45;963;2,07;0,21;953,45;29,84
1,073;0,592;1,575;679,25;663,75;19,5;43881,57;963;2,07;0,21;953,44;29,87
1,07;0,746;1,575;680,5;664,5;19,5;43917,97;963;2,07;0,21;953,43;29,84
1,066;0,629;1,564;680,5;664,75;19,5;43808,41;964;2,07;0,21;953,47;29,84
1,066;0,585;1,582;680;664;19,5;43623,14;964;2,07;0,21;953,46;29,84
1,066;0,496;1,564;677,75;662,75;19,5;43446,25;964;2,07;0,21;953,44;29,87
1,07;0,687;1,568;676,75;661,25;19,75;43392,32;964;2,07;0,21;953,44;29,87
1,07;0,547;1,568;676,25;660,75;19,5;43455,17;964;2,07;0,21;953,44;29,84
1,069;0,601;1,568;676,5;661,25;19,5;43502,96;964;2,07;0,21;953,46;29,84
1,07;0,486;1,582;677;661,75;19,5;43653,83;964;2,07;0,21;953,47;29,87
1,073;0,509;1,568;678,5;662,5;19,5;43729,66;964;2,07;0,21;953,42;29,84
1,07;0,631;1,55;679,25;664;19,5;43792,42;964;2,07;0,21;953,47;29,84
1,071;0,655;1,564;679,75;664;19,5;43747,19;964;2,07;0,21;953,47;29,82
1,07;0,618;1,56;679,25;664;19,5;43747,19;964;2,07;0,21;953,4;29,87
1,069;0,823;1,579;679;664;19,5;43790,29;965;2,07;0,21;953,42;29,84
1,07;0,647;1,553;679,25;664;19,5;43776,98;965;2,07;0,21;953,4;29,84
1,07;0,51;1,568;679,25;663,75;19,5;43694,09;965;2,07;0,21;953,44;29,82
