p_BK;delta_p;m_br;T_links;T_rechts;T_wasser;n1;n2;Q;P;p_env;T_env
1,939;7,746;4,805;629,25;611,75;23,25;119083,06;5689;10,78;6,42;953,36;29,07
1,935;7,685;4,816;629,25;612;23,25;119098,82;5689;10,78;6,42;953,4;29,07
1,934;7,921;4,82;629,25;612;23;119059,43;5689;10,78;6,42;953,39;29,02
1,936;7,714;4,816;629,25;611,75;23,25;119090,94;5648;10,58;6,26;953,41;29,02
1,935;7,883;4,823;629,5;612;23,25;119087;5648;10,58;6,26;953,36;29,02
1,936;7,843;4,823;629,5;611,75;23,25;119110,64;5648;10,58;6,26;953,41;29,02
1,939;7,867;4,805;629,75;612;23,25;119094,88;5648;10,58;6,26;953,36;29,07
1,935;7,919;4,816;629,75;612;23,25;119102,76;5648;10,58;6,26;953,39;29,02
1,935;7,848;4,82;629,5;611;23,25;119098,82;5648;10,78;6,38;953,34;29,02
1,935;7,924;4,816;629;611,5;23,25;119087;5648;10,78;6,38;953,34;29,1
1,932;7,901;4,809;629,5;612;23,25;119079,12;5648;10,78;6,38;953,4;29,07
1,93;8,084;4,82;629,5;612;23,25;119031,88;5648;10,78;6,38;953,34;29,02
1,932;8,001;4,816;629,25;612;23,25;118996,47;5648;10,78;6,38;953,39;29,07
1,935;8,028;4,805;629,25;612,25;23,25;119008,27;5648;10,78;6,38;953,37;29,07
1,935;7,955;4,816;629,25;612,25;23,25;119047,62;5667;10,78;6,4;953,36;29,07
1,936;7,958;4,816;629,25;612,25;23;119035,81;5667;10,78;6,4;953,33;29,07
1,939;7,983;4,805;629,25;612,25;23;119024;5667;10,78;6,4;953,35;29,07
1,932;7,896;4,823;629,25;612;23;119008,27;5667;10,78;6,4;953,4;29,02
1,932;7,881;4,802;629,5;612;23;119000,4;5667;10,78;6,4;953,41;29,07
1,932;7,966;4,816;629,5;611,75;23;118898,21;5667;10,78;6,4;953,36;29,07
1,931;8,346;4,813;629,5;611,5;23;118945,35;5667;10,78;6,4;953,34;29,02
1,934;7,958;4,82;629,5;611,5;23;118992,53;5667;10,78;6,4;953,43;29,1
